Tabella 1
?fragmentLabel;?source;?cueLabel;?cueText;?inferenceLabel
Ceremony biblical fragment;The Handmaid's Tale, PDF p. 91;Ceremony biblical cue;Give me children, or else I die;Biblical justification inference
Ceremony biblical fragment;The Handmaid's Tale, PDF p. 91;Ceremony biblical cue;Give me children, or else I die;Ceremony ritualization inference
Ceremony category failure fragment;The Handmaid's Tale, PDF pp. 96-97;Ceremony category failure cue;only one is involved;Ceremony category failure inference
Ceremony category failure fragment;The Handmaid's Tale, PDF pp. 96-97;Ceremony category failure cue;only one is involved;Ceremony ritualization inference
Ceremony passion negation fragment;The Handmaid's Tale, PDF p. 97;Ceremony passion negation cue;It has nothing to do with passion;Ceremony ritualization inference
Ceremony passion negation fragment;The Handmaid's Tale, PDF p. 97;Ceremony passion negation cue;It has nothing to do with passion;Passion negation inference
Ceremony prayer fragment;The Handmaid's Tale, PDF p. 93;Ceremony prayer cue;a moment of silent prayer;Ceremony ritualization inference
Ceremony prayer fragment;The Handmaid's Tale, PDF p. 93;Ceremony prayer cue;a moment of silent prayer;Ritual prayer inference
Color inventory fragment;The Handmaid's Tale, PDF p. 89;Color inventory cue;as if taking inventory;Chromatic code synthesis inference
Color inventory fragment;The Handmaid's Tale, PDF p. 89;Color inventory cue;as if taking inventory;Color inventory inference
Darkness or light fragment;The Handmaid's Tale, PDF pp. 283-285;Darkness or light cue;"darkness within; or else the light";Darkness light open ending inference
Darkness or light fragment;The Handmaid's Tale, PDF pp. 283-285;Darkness or light cue;"darkness within; or else the light";Nick ambiguous role synthesis inference
Historical Notes Name Fragment;The Handmaid's Tale, PDF p. 294;Patronymic Name Cue;Offred gives no clue;Patronymic Name Inference
Historical Notes color origin fragment;The Handmaid's Tale, PDF p. 295;Historical Notes color origin cue;the suggestion that the Handmaids wear red;Historical color reframing inference
Initial color assignment fragment;The Handmaid's Tale, PDF pp. 17-18;Initial color assignment cue;the colour of blood, which defines us;Chromatic code synthesis inference
Initial color assignment fragment;The Handmaid's Tale, PDF pp. 17-18;Initial color assignment cue;the colour of blood, which defines us;Initial color assignment inference
Initial color assignment fragment;The Handmaid's Tale, PDF pp. 17-18;Initial color assignment cue;the colour of blood, which defines us;Red symbolic inference
Name Exchange Fragment;The Handmaid's Tale, PDF p. 14;Name Exchange Cue;we exchanged names;Name Exchange Inference
Nick Eye suspicion fragment;The Handmaid's Tale, PDF pp. 26-27;Nick Eye suspicion cue;Perhaps he is an Eye;Nick Eye suspicion inference
Nick Eye suspicion fragment;The Handmaid's Tale, PDF pp. 26-27;Nick Eye suspicion cue;Perhaps he is an Eye;Nick ambiguous role synthesis inference
Nick trust request fragment;The Handmaid's Tale, PDF pp. 283-285;Nick Trust me cue;Trust me;Nick ambiguous role synthesis inference
Nick trust request fragment;The Handmaid's Tale, PDF pp. 283-285;Nick Trust me cue;Trust me;Nick trust ambiguity inference
Offred name fragment;The Handmaid's Tale, PDF p. 87;Offred name cue;My name isn't Offred;Hidden Name Inference
Offred name fragment;The Handmaid's Tale, PDF p. 87;Offred name cue;My name isn't Offred;Offred identity inference
State secrets authorization fragment;The Handmaid's Tale, PDF pp. 283-285;State secrets cue;Violation of state secrets;Nick ambiguous role synthesis inference
State secrets authorization fragment;The Handmaid's Tale, PDF pp. 283-285;State secrets cue;Violation of state secrets;State authority ambiguity inference
Street color enumeration fragment;The Handmaid's Tale, PDF pp. 32-33;Street color enumeration cue;These women are not divided into functions;Chromatic code synthesis inference
Street color enumeration fragment;The Handmaid's Tale, PDF pp. 32-33;Street color enumeration cue;These women are not divided into functions;Street color enumeration inference
