"CQ7: Which predictions and probability disjunctions are generated by interpretive inferences in ambiguous cases?
Query file: queries/07_predictions_disjunctions.rq
Tested in: Snap SPARQL / Protégé
Returned rows: 13",,,
,,,
?inferenceLabel ,?predictionLabel ,?disjunctionLabel, ?alternativePredictionLabel
Darkness light open ending inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred arrest prediction@en
Darkness light open ending inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred rescue prediction@en
Nick ambiguous role synthesis inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred arrest prediction@en
Nick ambiguous role synthesis inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred rescue prediction@en
State authority ambiguity inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred arrest prediction@en
State authority ambiguity inference@en,Final outcome uncertainty prediction@en,Final outcome probability disjunction@en,Offred rescue prediction@en
Nick Eye suspicion inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Eye prediction@en
Nick Eye suspicion inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Mayday ally prediction@en
Nick ambiguous role synthesis inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Eye prediction@en
Nick ambiguous role synthesis inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Mayday ally prediction@en
Nick trust ambiguity inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Eye prediction@en
Nick trust ambiguity inference@en,Nick role uncertainty prediction@en,Nick role probability disjunction@en,Nick as Mayday ally prediction@en
